country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot
Germany,regional,DEC,Saarland,3,0.5274509803921569
Germany,regional,DED,Saxony,3,0.4425287356321839
Germany,regional,DEE,Saxony-Anhalt,3,0.4793713163064833
Germany,regional,DEF,Schleswig-Holstein,3,0.5310077519379846
Germany,regional,DEG,Thuringia,3,0.4468503937007874
Greece,regional,EL3,Attica,3,0.40755467196819084
Greece,regional,EL4,"Aegean Islands, Crete",3,0.48902195608782434
Greece,regional,EL5,North Greece,3,0.5189620758483033
Greece,regional,EL6,Central Greece,3,0.5776892430278885
Hungary,regional,HU1,Central Hungary,3,0.3486973947895792
Hungary,regional,HU2,Transdanubia ,3,0.3319919517102616
Hungary,regional,HU3,Great Plain and North,3,0.3850267379679144
Ireland,regional,IE04,Northern and Western,3,0.5217391304347826
Ireland,regional,IE05,Southern,3,0.5087719298245614
Ireland,regional,IE06,Eastern and Midland,3,0.48722986247544203
Italy,regional,ITC,North-West,3,0.4044213263979194
Italy,regional,ITF,South,3,0.34670116429495473
Italy,regional,ITG,Islands,3,0.35723598435462844
Italy,regional,ITH,North-East,3,0.4013071895424837
Italy,regional,ITI,Centre,3,0.34464751958224543
Lithuania,regional,LT01,Capital Region,3,0.46657754010695185
Lithuania,regional,LT02,Central/Western Region,3,0.49798657718120803
Luxembourg,regional,LU00,Luxembourg,3,0.6473509933774835
Malta,regional,MT00,Malta,3,0.5270541082164328
Netherlands,regional,NL1,North Netherlands,3,0.6711051930758988
Netherlands,regional,NL2,East Netherlands,3,0.6719367588932806
Netherlands,regional,NL3,West Netherlands,3,0.67578125
Netherlands,regional,NL4,South Netherlands,3,0.6488250652741514
Portugal,regional,PT1,Continental Portugal,3,0.5708884688090737
Portugal,regional,PT2,Azores,3,0.5335968379446641
Portugal,regional,PT3,Madeira,3,0.762906309751434
Slovakia,regional,SK01,Bratislava,3,0.5382653061224489
Slovakia,regional,SK02,West Slovakia,3,0.5383360522022839
Slovakia,regional,SK03,Central Slovakia,3,0.5190713101160862
Slovakia,regional,SK04,East Slovakia,3,0.5460869565217391
Slovenia,regional,SI03,East Slovenia,3,0.29504950495049503
Slovenia,regional,SI04,West Slovenia,3,0.2840466926070039
Spain,regional,ES1,North-West,3,0.5637450199203188
Spain,regional,ES2,North-East,3,0.582
Spain,regional,ES3,Madrid,3,0.5823293172690763
Spain,regional,ES4,Centre,3,0.584
Spain,regional,ES5,East,3,0.535645472061657
Spain,regional,ES6,South,3,0.5601577909270217
Spain,regional,ES7,Canary Islands,3,0.5823293172690763
Sweden,regional,SE1,Eastern Sweden,3,0.6135531135531136
Sweden,regional,SE2,Southern Sweden,3,0.590818363273453
Sweden,regional,SE3,Northern Sweden,3,0.5869565217391305
Austria,regional,AT1,East Austria,4,0.7292464878671775
Austria,regional,AT2,South Austria,4,0.7675033025099075
Austria,regional,AT3,West Austria,4,0.7451235370611183
Belgium,regional,BE1,Brussels Region,4,0.7075098814229249
Belgium,regional,BE2,Flemish Region,4,0.6738703339882122
Belgium,regional,BE3,Waloon Region,4,0.7213438735177866
Bulgaria,regional,BG3,North and South-East,4,0.608
